"syll","perf","perfword","allow","allowword"
"ie","ie, y, ye","by, buy, cry, die, dry, eye, fly, fry, fie, hie, lie, pie, ply, pry, rye, shy, sly, spy, shy, sty, tie, try, vie, why, ally, apply, awry, bely, comply, decry, defy, descry, deny, imply, espy, outvie, outfly, rely, reply, supply, untie, amplify, beautify, certify, crucify, deify, dignify, edify, falsify, fortify, gratify, glorify, indemnify, justify, magnify, modify, mollify, mortify, pacify, petrify, purify, putrify, qualify, ratify, rectify, sanctify, satisfy, scarify, signify, specify, stupify, terrify, testify, verify, villify, vitrify, vivify, prophecy, high, nigh, sigh, thigh","ee, ea","bee, she, tea, sea, pleurisy, chymistry, chemistry, academy, apostacy, conspiracy, confederacy, ecstasy, democracy, embassy, fallacy, legacy, supremacy, lunacy, privacy, piracy, malady, remedy, tragedy, comedy, cosmography, geography, geometry, elegy, certainty, sovereignty, loyalty, disloyalty, penalty, casualty, ribaldry, chivalry, infamy, constancy, fealty, cavalry, bigamy, poligamy, vacancy, inconstancy, infancy, company, accompany, dittany, tyranny, villany, anarchy, monarchy, lethargy, incendiary, infirmary, library, salary, sanctuary, cotary, auxiliary, contrary, diary, granary, rosemary, urgency, infantry, knavery, livery, recovery, robbery, novelty, antipathy, apathy, sympathy, idolatry, galaxy, husbandry, cruelty, enemy, blasphemy, prophecy, clemency, decency, inclemency, emergency, regency, progeny, energy, poverty, liberty, property, adultery, artery, artillery, battery, beggary, bribery, bravery, delivery, drudgery, flattery, gallery, imagery, lottery, misery, mystery, nursery, raillery, slavery, sorcery, treachery, discovery, tapestry, majesty, modesty, immodesty, honesty, dishonesty, courtesy, heresy, poesy, poetry, secresy, leprosy, perfidy, subsidy, drapery, symmetry, drollery, prodigy, policy, mutiny, destiny, scrutiny, hypocrisy, family, ability, activity, avidity, assiduity, civility, community, concavity, consanguinity, conformity, congruity, diuturnity, facility, falsity. familiarity, formality, generosity, gratuity, humidity , absurdity, activity, adversity, affability, affinity, agility, alacrity, ambiguity, animosity, antiquity, austerity, authority, brevity, calamity, capacity, captivity, charity, chastity, civility, credulity, curiosity, finery, declivity, deformity, duty, dexterity, dignity, disparity, diversity, divinity, enmity, enormity, equality, equanimity, equity, eternity, extremity, fatality, felicity, fertility, fidelity, frugality, futurity, gravity, hostility, humanity, humility, immunity, immaturity, immensity, immorality, immortality, immunity, immutability, impartiality, impossibility, impetuosity, improbity, inanity, incapacity, incivility, incongruity, inequality, indemnity, infinity, inflexibility, instability, invalidity, jollity, lenity, lubricity, magnanimity, majority, mediocrity, minority, mutability, nicety, perversity, perplexity, perspicuity, prosperity, privity, probability, probity, propensity, rarity, rapidity, sagacity, sanctity, sensibility, sensuality, solidity, temerity, timidity, tranquillity, virginity, visibility, university, trumpery, apology, genealogy, etymology, simony, symphony, soliloquy, allegory, armory, factory, pillory, faculty, treasury, usury, augury, importunity, impunity, impurity, inaccuracy, inability, incredulity, indignity, infidelity, infirmity, iniquity, integrity, laity, liberality, malignity, maturity, morality, mortality, nativity, necessity, neutrality, nobility, obscurity, opportunity, partiality,perpetuity, prosperity, priority, prodigality, purity, quality, quantity, scarcity, security, severity, simplicity, sincerity, solemnity, sterility, stupidity, Trinity, vacuity, validity, vanity, vivacity, unanimity, uniformity, unity, anxiety, gaiety, impiety, piety, satiety, sobriety, society, variety, customary, melody, philosophy, astronomy, anatomy, colony, gluttony, harmony, agony, gallantry, campy, history, memory, victory, calumny, injury, luxury, penury, perjury,usury, industry"
"iece","ease, eace, iece, eese","cease, lease, release, grease, decease, decrease, encrease, release, surcease, peace, piece, niece, fleece, geese, frontispiece, apiece","ess, ice, iss","less, mess, lace, mace, miss, kiss, nice, vice"
"ief","ief, eef, eaf","grief, chief, fief, thief, brief, belief, relief, reef, beef, leaf, sheaf",NA,NA
"iege","iege","liege, siege, oblige, disoblige, assiege, besiege",NA,NA
"ield","ield, eal'd, ealed","field, yield, shield, wield, afield, heal'd, repeal'd, healed, repealed",NA,NA
"ien","ien, ean, ene, een","bean, clean, dean, glean, lean, mean, wean, yean, demean, unclean, convene, demesne, intervene, mien, machine, keen, skreen, seen, green, spleen, between, careen,foreseen, serene, obscene, terrene, queen, spleen","ane, an, in","bane, mane, ban, man, bin, thin, begin"
"iend","iend, end, enn'd, enned","bend, mend, blend, end, fend, lend, rend, send, spend, tend, vend, amend, attend, ascend, commend, contend, defend, depend, descend, distend, expend, extend, forefend, impend, mispend, obtend, offend, portend, pretend, protend, suspend, transcend, unbend, apprehend, comprehend, condescend, discommend, recommend, reprehend, dividend, reverend, friend, befriend, penn'd, kenn'd, penned, kenned","ean'd, eaned","glean'd, yean'd, gleaned, yeaned"
"ierce","erse, erce, ierce","verse, herse, absterse, adverse, averse, converse, disperse, immerse, perverse, reverse, traverse, asperse, intersperse, universe, amerce, coerce, fierce, tierce, pierce","arce, urse","farce, parce, Mars, purse, curse"
"iest","east, iest, eas'd, eased","east, feast, least, beast, ceas'd, increas'd, ceased, increased, priest","aste, est, ist, ess'd, iss'd, essed, issed","haste, taste, best, chest, fist, list, dress'd, kiss'd, dressed, kissed"
"ieve","eave, eive, ieve","cleave, heave, interweave, leave, weave, bereave, inweave, receive, conceive, deceive, perceive, eve, grieve, sleeve, thieve, aggrieve, achieve, believe, disbelieve, relieve, reprieve, retrieve","ive, ave","give, live, lave, cave, have"
"ife","ife","rife, fife, knife, wife, stife, life","iff","cliff, skiff, stiff, whiff"
"iff","iff","cliff, skiff, stiff, whiff","ife","rife, fife, knife, wife, strife, life"
"ift","ift, iff'd, iffed","gift, drift, shift, lift, rift, sift, thrift, adrift, whiff'd, whiffed",NA,NA
"ig","ig","big, dig, gig, fig, pig, rig, sprig, twig, swig","eague, igue","league, teague, fatigue"
"ige","iege, ige","liege, siege, oblige, disoblige, assiege, besiege",NA,NA
"igh","igh, ie, y, ye","by, buy, cry, die, dry, eye, fly, fry, fie, hie, lie, pie, ply, pry, rye, shy, sly, spy, shy, sty, tie, try, vie, why, ally, apply, awry, bely, comply, decry, defy, descry, deny, imply, espy, outvie, outfly, rely, reply, supply, untie, amplify, beautify, certify, crucify, deify, dignify, edify, falsify, fortify, gratify, glorify, indemnify, justify, magnify, modify, mollify, mortify, pacify, petrify, purify, putrify, qualify, ratify, rectify, sanctify, satisfy, scarify, signify, specify, stupify, terrify, testify, verify, villify, vitrify, vivify, prophecy, high, nigh, sigh, thigh","ee, ea","bee, she, tea, sea, pleurisy, chymistry, chemistry, academy, apostacy, conspiracy, confederacy, ecstasy, democracy, embassy, fallacy, legacy, supremacy, lunacy, privacy, piracy, malady, remedy, tragedy, comedy, cosmography, geography, geometry, elegy, certainty, sovereignty, loyalty, disloyalty, penalty, casualty, ribaldry, chivalry, infamy, constancy, fealty, cavalry, bigamy, poligamy, vacancy, inconstancy, infancy, company, accompany, dittany, tyranny, villany, anarchy, monarchy, lethargy, incendiary, infirmary, library, salary, sanctuary, cotary, auxiliary, contrary, diary, granary, rosemary, urgency, infantry, knavery, livery, recovery, robbery, novelty, antipathy, apathy, sympathy, idolatry, galaxy, husbandry, cruelty, enemy, blasphemy, prophecy, clemency, decency, inclemency, emergency, regency, progeny, energy, poverty, liberty, property, adultery, artery, artillery, battery, beggary, bribery, bravery, delivery, drudgery, flattery, gallery, imagery, lottery, misery, mystery, nursery, raillery, slavery, sorcery, treachery, discovery, tapestry, majesty, modesty, immodesty, honesty, dishonesty, courtesy, heresy, poesy, poetry, secresy, leprosy, perfidy, subsidy, drapery, symmetry, drollery, prodigy, policy, mutiny, destiny, scrutiny, hypocrisy, family, ability, activity, avidity, assiduity, civility, community, concavity, consanguinity, conformity, congruity, diuturnity, facility, falsity. familiarity, formality, generosity, gratuity, humidity , absurdity, activity, adversity, affability, affinity, agility, alacrity, ambiguity, animosity, antiquity, austerity, authority, brevity, calamity, capacity, captivity, charity, chastity, civility, credulity, curiosity, finery, declivity, deformity, duty, dexterity, dignity, disparity, diversity, divinity, enmity, enormity, equality, equanimity, equity, eternity, extremity, fatality, felicity, fertility, fidelity, frugality, futurity, gravity, hostility, humanity, humility, immunity, immaturity, immensity, immorality, immortality, immunity, immutability, impartiality, impossibility, impetuosity, improbity, inanity, incapacity, incivility, incongruity, inequality, indemnity, infinity, inflexibility, instability, invalidity, jollity, lenity, lubricity, magnanimity, majority, mediocrity, minority, mutability, nicety, perversity, perplexity, perspicuity, prosperity, privity, probability, probity, propensity, rarity, rapidity, sagacity, sanctity, sensibility, sensuality, solidity, temerity, timidity, tranquillity, virginity, visibility, university, trumpery, apology, genealogy, etymology, simony, symphony, soliloquy, allegory, armory, factory, pillory, faculty, treasury, usury, augury, importunity, impunity, impurity, inaccuracy, inability, incredulity, indignity, infidelity, infirmity, iniquity, integrity, laity, liberality, malignity, maturity, morality, mortality, nativity, necessity, neutrality, nobility, obscurity, opportunity, partiality,perpetuity, prosperity, priority, prodigality, purity, quality, quantity, scarcity, security, severity, simplicity, sincerity, solemnity, sterility, stupidity, Trinity, vacuity, validity, vanity, vivacity, unanimity, uniformity, unity, anxiety, gaiety, impiety, piety, satiety, sobriety, society, variety, customary, melody, philosophy, astronomy, anatomy, colony, gluttony, harmony, agony, gallantry, campy, history, memory, victory, calumny, injury, luxury, penury, perjury,usury, industry"
"ight","ite, ight","bite, cite, kite, blite, mite, quite, rite, smite, spite, trite, white, write, contrite, disunite, despite, endite, invite, excite, incite, polite, requite, recite, unite, reunite, aconite, appetite, parasite, proselyte, expedite, blight, benight, bright, fight, flight, fright, hight, light, knight, night, might, plight, right, tight, slight, sight, spright, wight, affright, alight, aright, foresight, delight, despight, unsight, upright, besight, bedight, oversight","eight, it","eight, height, weight, hit, hit, favourite, hypocrite, infinite, requisite, opposite, apposite, exquisite"
"ign","ine, ign","dine, brine, mine, chine, fine, tine, nine, pine, shine, shrine, hine, thine, trine, twine, vine, wine, whine, combine, confine, decline, define, incline, inshrine, intwine, opine, calcine, recline, refine, repine, superfine, interline, countermine, undermine, supine, concubine, porcupine, divine, sign, assign, consign, design","in, oin, ine","bin, thin, tin, origin, join, loin, masculine, feminine, discipline, libertine, heroine"
"igue","eague, igue","league, teague, intrigue, fatigue","ague, eg, ag","Hague, vague, leg, beg, bag, rag"
"ike","ike","dike, like, pike, spike, strike, alike, dislike, oblique","eak, ique, ick","leak, speak, antique,  lick, pick"
"ill","ill, ile","bill, chill, fill, drill, gill,  hill,  ill,  kill,  mill,  pill, quill, rill, shrill, fill, skill, spill,  still, swill, thrill, till, thrill,  will,  distill,  fulfil,  instil, codicil, daffodil, utensil, volatile","eel, eal, able","bile, chyle,  file,  feel, reel, meal, peal, seal, suitable"
"ild","ild, il'd, iled","child, mild, wild, pil'd, revil'd, piled, reviled","ill'd, illed, oil'd, oiled","fill'd, will'd, filled, willed, oil'd, boil'd, foil'd, oiled, boiled, foiled"
"ild","ild, uild, ill'd, illed","gild, build, rebuild, fill'd,  will'd, filled, willed","ild, il'd, iled","child, mild, wild, pil'd, revil'd,  piled, reviled"
"ile","ile","bile, chyle, file, guile, isle, mile, pile,  smile, stile, style, tile, vile,  while, awhile, compile, revile, defile, exile, erewhile, reconcile, beguile","oil, ill","oil, boil, bill, fill"
"ilk","ilk","milk, silk, bilk",NA,NA
"ilt","ilt","gilt, jilt, built, quilt, guilt, hilt, spilt, stilt, tilt",NA,NA
"ilth","ilth","filth,  tilth",NA,NA
"im","im","brim,  dim,  grim,  him,  rim,  skim,  slim,  trim, whim,  prim, limb, hymn, limn","ime, eam","lime, time, climb,  team,  gleam"
"imb","im, imb","brim,  dim,  grim,  him,  rim,  skim,  slim,  trim, whim,  prim, limb, hymn, limn","ime, eam","lime, time, climb,  team,  gleam"
"ime","ime, yme","chime, time,  grime, climb, clime, crime, prime, mime, rhyme,  slime,  thyme,  lime, sublime","im","brim, dim, maritime"
"imes","imes, ymes","betimes, sometimes, chimes,  rhymes","eams, ims","dreams,  brims, swims"
"imn","im","brim,  dim,  grim,  him,  rim,  skim,  slim,  trim, whim,  prim, limb, hymn, limn","ime, eam","lime, time, climb,  team,  gleam"
"imp","imp","imp,  limp, pimp, gimp",NA,NA
"impse","impse,  imps","glimpse, imps,  limps",NA,NA
"in","in","chin, din,  fin,  grin,  gin, in, inn, kin,  pin, shin, sin, spin,  skin, thin, twin, tin, win, within, assassin, javelin, begin","ine, ean, ine","chine, dine, lean, bean, machine, magazine"
"ince","ince","mince,  prince, since, quince, rince, wince, convince, evince",NA,NA
"inch","inch","clinch, finch, winch, pinch, inch",NA,NA
"inct","inct, ink'd, inked","instinct, distinct, extinct, precinct, succinct, ink'd, pink'd,  inked, pinked",NA,NA
"ind","ind, in'd, ined","bind, find, mind, blind,  bind, kind, grind, rind, wind, behind, unkind, remind, refin'd, refined","oin'd, oined","rescind, prescind, wind, join'd, joined"
"ine","ine, ign","dine, brine, mine, chine, fine, tine, nine, pine, shine, shrine, hine, thine, trine, twine, vine, wine, whine, combine, confine, decline, define, incline, inshrine, intwine, opine, calcine, recline, refine, repine, superfine, interline, countermine, undermine, supine, concubine, porcupine, divine, sign, assign, consign, design","in, oin, ine","bin, thin, tin, origin, join, loin, masculine, feminine, discipline, libertine, heroine"
"ing","ing","bring, sing, cling, fling, king, ring, sling, spring, sting, string, swing, wing, wring, thing, recovering, altering",NA,NA
"inge","inge","cringe, fringe, hinge, singe, springe, swinge, tinge, twinge, infringe",NA,NA
"ink","ink","ink,  think, wink, drink, blink, brink, chink, clink, link, pink, shrink, sink,  slink, stink,  bethink, forethink",NA,NA
"int","int","dint,  mint, hint,  flint, lint, print, squint, asquint, imprint",NA,NA
"ip","ip","chip, lip, hip, clip, dip, drip, lip, nip, sip, rip, scrip, ship, ship, slip, snip, strip, tip, trip, whip, equip, eldership, fellowship, workmanship, rivalship","ipe, eap","wipe, gripe, leap, heap"
"ipe","ipe, ype","gripe, pipe, ripe, snipe, type,  stripe, wipe, archetype, prototype","ip","chip, lip, workmanship"
"ipse","ipse, ips","eclipse, lips, strips","ipes","gripes, wipes"
"ir","ur, ir","blur, cur, bur, fur, slur, spur, concur, demur, incur, sir, stir, fir","ore, oar","pore, ore"
"irch","urch, irch","church, lurch, birch, perch, search","orch","porch"
"ird","ird, urd, urr'd, urred","curd, absurd, bird, word, spurr'd, spurred","oard, ord, or'd, ored, oar'd, oared, orr'd, orred, ur'd, ured","board, ford, cord, lord, gor'd, oar'd, abhorr'd, record, accord, gored, oared, abhorred, cur'd, immur'd, cured, immured SEE ORD"
"ire","ire, ier, iar","fire, dire, hire, ire, lyre, mire, quire, sire, spire, squire, hire, wire, tire, attire, acquire, admire, aspire, conspire, desire, inquire, entire, expire, inspire, require, retire, transpire, pyre, fryar, liar, brier, friar, crier, dier, nigher, shier",NA,NA
"irge","erge, urge","verge, absterge, emerge, immerge, dirge, urge, purge, surge","arge","barge, large"
"irl","irl, url","girl, whirl, twirl, curl, furl, churl",NA,NA
"irm","irm, orm, erm","firm, affirm, confirm, infirm, worm,  term",NA,NA
"irst","urst, irst","burst, curst, durst, accurst, thirst, worst, first",NA,NA
"irt","urt, irt","blurt, hurt, spurt, dirt, shirt, flirt, squirt","ort","port, court, short, snort"
"irth","irth, earth","birth, mirth, earth, dearth",NA,NA
"iss","iss","bliss, miss, kiss, hiss, this, abyss, amiss, submiss, dismiss, remiss","ice, eace, ease","mice, spice, peace, lease"
"is","is, iz","is, his, whiz",NA,NA
"ise","ice, ise","ice, dice, mice, nice, price, rice, spice, slice, thrice, trice, advice, entice, rice, device, rise, concise, precise, paradise","iss, ice, iece, eece","miss, kiss, hiss, artifice, avarice, cockatrice, benefice, cicatrice, edifice, orifice, prejudice, precipice, sacrifice, piece, fleece"
"ise","ize, ise, ies","prize, wise, rise, size, guise, disguise, advise, authorize, canonize, chastise, civilize, comprise, criticise, despise, devise, enterprize, excise, exercise, idolize, immortalize, premise, revise, signalize, solemnize, surprize, surprise, surmise, suffice, sacrifice, sympathize, sympathise, tyrannize, pies, lies, replies","iss","miss, hiss, precipice"
"ish","ish","dish, fish, wish, cuish, pish",NA,NA
"isk","isk","brisk, frisk, disk, risk, whisk, basilisk, tamarisk",NA,NA
"isp","isp","crisp, wisp, lisp",NA,NA
"ist","ist, iss'd, issed","fist, list, mist, twist, wrist, assist, consist, desist, exist, insist, persist, resist, subsist, alchymist, amethyst, anatomist, antagonist, annalist, evangelist, eucharist, exorcist, herbalist, humorist, oculist, organist, satirist, miss'd, hiss'd, missed, hissed","ic'd, iced","spic'd, slic'd, spiced, sliced"
"it","it","it, bit, cit, hit, fit, grit, flit, knit, nit, pit, quit, sit, split, twit, wit, whit, writ, admit, acquit, commit, emit, omit, outwit, permit, remit, submit, transmit, refit, benefit, perquisite","eat, ite, ight","beat, heat, bite, mite, light"
"itch","itch, ich","ditch, pitch, rich, which, bitch, flitch, hitch, itch, stitch, switch, twitch, witch, bewitch, nich, enrich",NA,NA
"ite","ite, ight","bite, cite, kite, blite, mite, quite, rite, smite, spite, trite, white, write, contrite, disunite, despite, endite, invite, excite, incite, polite, requite, recite, unite, reunite, aconite, appetite, parasite, proselyte, expedite, blight, benight, bright, fight, flight, fright, hight, light, knight, night, might, plight, right, tight, slight, sight, spright, wight, affright, alight, aright, foresight, delight, despight, unsight, upright, besight, bedight, oversight","eight, it","eight, height, weight, hit, hit, favourite, hypocrite, infinite, requisite, opposite, apposite, exquisite"
"ith","ith","pith, smith, frith",NA,NA
"ithe","ithe","hithe, blithe, tithe, scythe, writhe, lithe","ith","with"
"ive","ive","five, dive, alive, gyve, hive, drive, rive, shrive, strive, thrive, arrive, connive, contrive, deprive, derive, revive, survive","ive","give, live, sieve, forgive, outlive, fugitive, laxative, narrative, prerogative, primitive, sensitive, vegetive, affirmative, alternative, contemplative, demonstrative, diminutive, distributive, donative, inquisitive, lenitive, negative, perspective, positive, preparative, prococative, purgative, restorative"
"ix","ix, icks","fix, six, flix, mix, affix, infix, prefix, transfix, intermix, crucifix, wicks, licks","ikes","pikes, likes"
"ixt","ixt, ix'd, ixed","betwixt, fix'd, mix'd, fixed, mixed",NA,NA
"ise","ise, ize, ies","prize, wise, rise, size, guise, disguise, advise, authorize, canonize, chastise, civilize, comprise, criticise, despise, devise, enterprize, excise, exercise, idolize, immortalize, premise, revise, signalize, solemnize, surprize, surprise, surmise, suffice, sacrifice, sympathize, sympathise, tyrannize, pies, lies, replies","iss","miss, hiss, precipice"
"ize","ise, ize, ies","prize, wise, rise, size, guise, disguise, advise, authorize, canonize, chastise, civilize, comprise, criticise, despise, devise, enterprize, excise, exercise, idolize, immortalize, premise, revise, signalize, solemnize, surprize, surprise, surmise, suffice, sacrifice, sympathize, sympathise, tyrannize, pies, lies, replies","iss","miss, hiss, precipice"
"o","o, oo, ew,","coo, woo, shoe, two, too, who, do, ado, undo, through, you, true, blue, flew, stew","ow","know, blow, go, toe"
"o","o, ow, ough","now, bow, how, mow, cow, brow, plow, sow, vow, prow, avow, allow, disallow, endow, bough, plough, slough, thou","o, ow","go, no, blow, sow"
"oach","oach","broach, coach, poach, abroach, approach, encroach, reproach, loach","otch, uch, utch","botch, notch, much, hutch"
"oad","aud, ode, oad, o'd, owed","bode, ode, code, mode, orde, abode, corrode, explode, forbode, commode, incommode, episode, road, toad, goad, load, ow'd, show'd, owed, showed","ood, od, aud","blood, flood, clod, hod, mod, broad, fraud"
"oaf","oaf","oaf, loaf","off, ough, oof","off, scoff, cough, trough, proof, roof"
"oak","oke, oak","broke, choke, smoke, spoke, stroke, yoke, bespoke, invoke, provoke, revoke, choack, cloak, oak, soak, stroke, stroak","ock, uck, alk, ook","stock, mock, block, lock, cock, clock, crock, dock, frock, flock, knock, rock, shock, sock, buck, luck, talk, walk, look, book, brook, cook, crook, hook, look, rook, shook, took, mistook, undertook, forsook, betook"
"oal","ole, oal","bole, dole, jole, hole, mole, pole, sole, stole, whole, shole, cajole, condole, parole, patrole, pistole, coal, foal, goal, soal, bowl, droll, prowl, roll, scroll, toll, troll, control, enroll, soul, toll, roll","ull, oll, ool","gull, dull, bull, full, loll, doll, fool, cool"
"oam","ome, oam","lome, dome, home, tome, foam, roam, comb","um, umb","dumb, hum, come, bomb, troublesome, drum, bomb, thumb, clomb"
"oan","oan, one, own","prone, bone, drone, throne, alone, stone, tone, lone, zone, atone, enthrone, dethrone, postpone, grown, flown, disown, thrown, sown, own, loan, shown, overthrown, grown, blown, moan, known","awn, on, un, oon","dawn, lawn, on, con, none, bun, dun, moon, boon"
"oap","ope, oap","sope, hope, cope, mope, grope, pope, rope, scope, slope, tope, trope, aslope, elope, interlope, telescope, heliotrope, horoscope, antelope, ope","oope, op, up","hoop, coop, lop, top, tup, sup"
"oar","ore, oar","bore, core, gore, lore, more, ore, pore, score, shore, snore, sore, store, swore, tore, wore, adore, afore, ashore, deplore, explore, implore, restore, forbore, foreswore, heretofore, hellebore, sycamore, boar, goar, oar, roar, soar, four, door, floor, o'er","our, ow'r, ur, oor, or","hour, sour, pow'r, show'r, bur, cur, poor, your, abhor, orator, senator, or, for, creditor, counsellor, confessor, competitor, emperor, ancestor, ambassador, progenitor, conspirator, successor, conqueror, governor, abhor, metaphor, bachelor, orator"
"oard","oard, ord","hoard, board, aboard, ford, afford, sword","ord, ird, or'd, ur'd, irr'd, ored, ured, irred","cord, lord, record, accord, abhorr'd, word, surd, bird, bor'd, incur'd, stirr'd, bored, incurred, stirred"
"oast","oast, ost","ghost, host, post, compost, most, roast, boast, toast","ost, oss'd, aust, ossed, ust, oos'd, oosed","cost, frost, lost, accost, moss'd, imboss'd, mossed, imbossed, exhaust, holocaust, bust, must, roost, loos'd, loosed"
"oat","ote, oat","note, vote, mote, quote, rote, wrote, smote, denote, promote, remote, devote, anecdote, antedote, boat, coat, bloat, doat,  float, gloat, goat, oat, overfloat, afloat, throat, moat","out, ot, ut, oot","bout, flout, hot, cot, but, cut, boot, hoot"
"oath","oth, oath, owth","both, oath, growth","oth, owth, ooth","loth, sloth, broth, bloth, froth, moth, troth, betroth, wrath, growth, forsooth, tooth, youth, sooth, uncouth, mouth, doth"
"ob","ob","fob, bob, mob, knob, sob, rob, throb, swab, squab","obe, aub, ub","daub, globe, robe, dub"
"obe","obe","globe, lobe, probe, robe, conglobe","ob, ub, aub","fob, mob, rub, dub, daub"
"oce","ose","close, dose, jocose, morose, gross, engross, verbose","oss, us","moss, cross, us, thus"
"ock","ock","block, lock, cock, clock, crock, dock, frock, flock, knock, mock, rock, shock, stock, sock","oak, oke, ook, uck","oak, poke, cloke, book, took, buck, suck"
"oct","oct, ock'd, ocked","concoct, block'd, lock'd, blocked, locked","oak'd, oaked, ok'd, oked","croak'd, croaked, soak'd, yok'd, soaked, yoked"
"od","od","clod, god, pod, sod, trod, nod, plod, odd, rod, shod","ode, ow'd, owed","ode, code, mode, sow'd, sowed"
"ode","ode, oad, o'd, owed","bode, ode, code, mode, orde, abode, corrode, explode, forbode, commode, incommode, episode, road, toad, goad, load, ow'd, show'd, owed, showed","ood, od, aud","blood, flood, clod, hod, mod, broad, fraud, wood, good, hood, stood, withstood, understood, brotherhood, livelihood, likelihood, neighbourhood, widowhood"
"oe","ow, oe, owe, o","blow, stow, crow, bow, flow, glow, grow, know, low, mow, row, show, sow, strow, stow, slow, snow, throw, trow, below, bestow, foreknow, outgrow, overgrow, overflow, overthrow, reflow, foreshow, go, no, toe, foe, owe, wo, oh, so, lo, though, hoe, ho, ago, forego, undergo, dough, roe, sloe, sew","ow","now, cow, bow, how, mow, cow, brow, plow, sow, vow, prow, avow, allow, disallow, endow, bough, plough, slough, thou"
"off","off, ough","off, scoff, cough, trough","oaf, oof","oaf, loaf, proof, roof"
"oft","oft, off'd, offed","oft, croft, soft, aloft, scoff'd",NA,NA
"og","og","hog, bog, cog, dog, clog, fog, frog, log, jog, dialogue, epilogue, agog, synagogue, catalogue, pedagogue","ogue","rogue, vogue"
"ogue","ogue","rogue, vogue, prorogue, collogue, disembogue","og","bog, log, dialogue"
"oice","oice","choice, voice, rejoice","ice","nice, vice, rice"
"oid","oid, oy'd, oyed","void, avoid, devoid, buoy'd, cloy'd, cloyed, buoyed","ide","hide, bide, ride"
"oil","oil","oil, boil, coil, moil, soil, spoil, toil, despoil, embroil, recoil, turmoil, disembroil","isle, ile","isle, while, tile"
"oin","oin","coin, join, subjoin, groin, loin, adjoin, conjoin, disjoin, enjoin, purloin, rejoin","ine","whine, wine, fine, dine, brine, mine, chine, tine, nine, pine, shine, shrine, hine, thine, trine, twine, vine, combine, confine, decline, define, incline, inshrine, intwine, opine, calcine, recline, refine, repine, superfine, interline, countermine, undermine, supine, concubine, porcupine, divine, sign, assign, consign, design"
"oint","oint","oint, joint, point, disjoint, annoint, anoint, appoint, disappoint, counterpoint",NA,"pint"
"oise","oise, oys","poise, noise, counterpoise, equipoise, boys, cloys","ise, ize, ies","wise, size, prize, pies, tries"
"oist","oist, oic'd, oiced","hoist, moist, foist, rejoic'd, rejoiced","ic'd, iced","spic'd, spiced"
"oit","oit","coit, exploit, adroit","ite, ight","white, light, might, sight, mite"
"oke","oke, oak","broke, choke, smoke, spoke, stroke, yoke, bespoke, invoke, provoke, revoke, choack, cloak, oak, soak, stroke, stroak","ock, uck, alk, ook","stock, mock, block, lock, cock, clock, crock, dock, frock, flock, knock, rock, shock, sock, buck, luck, talk, walk, look, book, brook, cook, crook, hook, look, rook, shook, took, mistook, undertook, forsook, betook"
"ol","ol, oll","loll, doll, droll, extol, capitol","all, awl, ole, ull","all, ball, awl, bawl, hole, mole, dull, mull"
"old","old, oll'd, ol'd, oal'd, owl'd, olled, oaled, owled","old, hold, cold, gold, hold, mold, scold, sold, told, behold, enfold, unfold, uphold, withhold, foretold, manifold, marigold, roll'd, rolled, cajol'd, cajoled, foaled, foal'd, bowl'd, bowled",NA,NA
"ole","ole, oal","bole, dole, jole, hole, mole, pole, sole, stole, whole, shole, cajole, condole, parole, patrole, pistole, coal, foal, goal, soal, bowl, droll, prowl, roll, scroll, toll, troll, control, enroll, soul, toll, roll","ull, oll, ool","gull, dull, bull, full, loll, doll, fool, cool"
"oln","oln","stoln, swoln",NA,NA
"olt","olt","bolt, bolt, jolt, holt, dolt, molt, revolt, thunderbolt","ault, alt","vault, fault, salt"
"olve","olve","solve, absolve, resolve, convolve, involve, devolve, dissolve, revolve",NA,NA
"om","om, um, umb","crum, drum, grum, gum, hum, mum, scum, plum, stum, sum, swum, thrum, thumb, dumb, succumb, come, become, overcome, burthensome, cumbersome, frolicksome, frolicsome, humoursome, quarrelsome, troublesome, martyrdom, christendom","ume, oom","fume, plume, rheum, room, doom, tomb, hecatomb"
"ome","ome","lome, dome, home, tome, foam, roam, comb","um, umb","dumb, hum, come, bomb, troublesome, drum, bomb, thumb, clomb"
"omb","omb, oom","gloom, groom, loom, room, spoom, bloom, doom, tomb, entomb, Rome, whom, womb","ome, dum, omb, ume","come, drum, bomb, thumb, clomb, plume, spume, from, home, comb"
"ompt","ount, ompt","count, fount, mount, amount, dismount, remount, surmount, account, discount, miscount, account","ant, ont, on't","want, font, don't, won't"
"on","un, on","dun, gun, nun, pun, run, sun, shun, tun, stun, spun, begun, son, won, ton, done, one, none, undone","on, une","on, gone, don, con, upon, anon, undergone, tune, prune"
"on","on","don, on, con, upon, anon, gone, undergone","un, own, oan, one, on","dun, run, won, own, moan, lone, bone, amazon, cinnamon, comparison, caparison, garrison, skeleton, union, juppon"
"ond","ond, onn'd, onned","pond, bond, fond, beyond, abscond, correspond, despond, diamond, vagabond, donn'd, conn'd, donned, conned","on'd, oned, oan'd, oaned, unn'd, unned","ston'd, moan'd, stunn'd, stoned, moaned, stunned"
"once","once, unce","dunce, once","once","sconce"
